Year,City,Population,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft,Violent Crime Rate,Murder and Nonnegligent Manslaughter Rate,Rape Rate,Robbery Rate,Aggravated Assault Rate,Property Crime Rate,Burglary Rate,Larceny-Theft Rate,Motor Vechicle Theft Rate
"2001","Anchorage, AK","263,588","1,748","10","210","384","1,144","11,466","1,606","8,648","1,212","663.2","3.8","79.7","145.7","434.0","4,350.0","609.3","3,280.9","459.8"
"2002","Anchorage, AK","267,280","1,721","18","254","382","1,067","11,949","1,521","9,255","1,173","643.9","6.7","95.0","142.9","399.2","4,470.6","569.1","3,462.7","438.9"
"2003","Anchorage, AK","271,085","1,744","17","244","340","1,143","11,706","1,418","9,091","1,197","643.3","6.3","90.0","125.4","421.6","4,318.2","523.1","3,353.6","441.6"
"2004","Anchorage, AK","273,714","2,164","15","263","331","1,555","9,901","1,523","7,354","1,024","790.6","5.5","96.1","120.9","568.1","3,617.3","556.4","2,686.7","374.1"
"2005","Anchorage, AK","276,109","2,031","16","224","384","1,407","11,365","1,783","8,248","1,334","735.6","5.8","81.1","139.1","509.6","4,116.1","645.8","2,987.2","483.1"
"2006","Anchorage, AK","277,692","2,592","17","248","465","1,862","11,721","1,733","8,543","1,445","933.4","6.1","89.3","167.5","670.5","4,220.9","624.1","3,076.4","520.4"
"2007","Anchorage, AK","284,142","2,405","22","257","453","1,673","11,107","1,454","8,397","1,256","846.4","7.7","90.4","159.4","588.8","3,909.0","511.7","2,955.2","442.0"
"2008","Anchorage, AK","280,068","2,647","10","263","544","1,830","9,211","1,191","7,254","766","945.1","3.6","93.9","194.2","653.4","3,288.8","425.3","2,590.1","273.5"
"2009","Anchorage, AK","283,300","2,488","14","282","534","1,658","10,316","1,613","7,835","868","878.2","4.9","99.5","188.5","585.2","3,641.4","569.4","2,765.6","306.4"
"2010","Anchorage, AK","291,826","2,432","13","264","454","1,701","10,214","1,223","8,178","813","833.4","4.5","90.5","155.6","582.9","3,500.0","419.1","2,802.4","278.6"
"2011","Anchorage, AK","296,955","2,388","12","283","465","1,628","9,455","1,080","7,750","625","804.2","4.0","95.3","156.6","548.2","3,184.0","363.7","2,609.8","210.5"
"2012","Anchorage, AK","299,143","2,479","15","303","488","1,673","10,543","1,158","8,554","831","828.7","5.0","101.3","163.1","559.3","3,524.4","387.1","2,859.5","277.8"
"2013","Anchorage, AK","299,455","2,435","14","408","522","1,491","12,032","1,318","9,845","869","813.1","4.7","136.2","174.3","497.9","4,018.0","440.1","3,287.6","290.2"
"2014","Anchorage, AK","301,306","2,605","12","392","496","1,705","11,531","1,375","9,217","939","864.6","4.0","130.1","164.6","565.9","3,827.0","456.3","3,059.0","311.6"
"2001","Mobile, AL","255,551","1,529","42","95","840","552","18,346","4,653","12,284","1,409","598.3","16.4","37.2","328.7","216.0","7,179.0","1,820.8","4,806.9","551.4"
"2002","Mobile, AL","256,542","1,376","40","107","752","477","16,573","3,590","11,534","1,449","536.4","15.6","41.7","293.1","185.9","6,460.2","1,399.4","4,495.9","564.8"
"2003","Mobile, AL","251,345","1,300","24","113","739","424","16,151","3,976","10,855","1,320","517.2","9.5","45.0","294.0","168.7","6,425.8","1,581.9","4,318.8","525.2"
"2004","Mobile, AL","250,593","1,170","27","125","673","345","16,417","3,844","11,270","1,303","466.9","10.8","49.9","268.6","137.7","6,551.3","1,534.0","4,497.3","520.0"
"2005","Mobile, AL","249,798","1,165","35","74","597","459","14,349","3,832","9,396","1,121","466.4","14.0","29.6","239.0","183.7","5,744.2","1,534.0","3,761.4","448.8"
"2006","Mobile, AL","250,152","1,167","34","83","685","365","15,849","3,662","10,857","1,330","466.5","13.6","33.2","273.8","145.9","6,335.7","1,463.9","4,340.2","531.7"
"2007","Mobile, AL","253,842","1,144","38","23","750","333","14,136","3,650","9,361","1,125","450.7","15.0","9.1","295.5","131.2","5,568.8","1,437.9","3,687.7","443.2"
"2008","Mobile, AL","251,041","1,204","42","27","875","260","13,846","3,305","9,470","1,071","479.6","16.7","10.8","348.5","103.6","5,515.4","1,316.5","3,772.3","426.6"
"2009","Mobile, AL","246,171","1,994","24","37","857","1,076","14,123","3,716","9,457","950","810.0","9.7","15.0","348.1","437.1","5,737.1","1,509.5","3,841.6","385.9"
"2010","Mobile, AL","251,106","1,702","25","59","653","965","14,179","3,873","9,279","1,027","677.8","10.0","23.5","260.0","384.3","5,646.6","1,542.4","3,695.3","409.0"
"2011","Mobile, AL","251,869","1,619","30","48","637","904","13,650","4,058","8,891","701","642.8","11.9","19.1","252.9","358.9","5,419.5","1,611.2","3,530.0","278.3"
"2012","Mobile, AL","251,516","1,314","32","45","460","777","12,103","2,796","8,755","552","522.4","12.7","17.9","182.9","308.9","4,812.0","1,111.7","3,480.9","219.5"
"2013","Mobile, AL","250,557","1,541","29","88","459","965","13,011","3,207","9,123","681","615.0","11.6","35.1","183.2","385.1","5,192.8","1,279.9","3,641.1","271.8"
"2014","Mobile, AL","250,655","1,488","31","136","428","893","11,603","2,847","8,225","531","593.6","12.4","54.3","170.8","356.3","4,629.1","1,135.8","3,281.4","211.8"
"2001","Chandler, AZ","182,662","521","6","43","172","300","8,792","1,599","6,043","1,150","285.2","3.3","23.5","94.2","164.2","4,813.3","875.4","3,308.3","629.6"
"2002","Chandler, AZ","187,795","519","3","46","149","321","10,685","1,893","7,447","1,345","276.4","1.6","24.5","79.3","170.9","5,689.7","1,008.0","3,965.5","716.2"
"2003","Chandler, AZ","206,620","624","5","58","131","430","10,332","1,819","7,006","1,507","302.0","2.4","28.1","63.4","208.1","5,000.5","880.4","3,390.8","729.4"
"2004","Chandler, AZ","217,471","716","3","52","135","526","9,562","1,535","6,490","1,537","329.2","1.4","23.9","62.1","241.9","4,396.9","705.8","2,984.3","706.8"
"2005","Chandler, AZ","231,613","826","8","54","200","564","8,323","1,439","5,684","1,200","356.6","3.5","23.3","86.4","243.5","3,593.5","621.3","2,454.1","518.1"
"2006","Chandler, AZ","243,919","959","9","56","236","658","8,724","1,401","6,152","1,171","393.2","3.7","23.0","96.8","269.8","3,576.6","574.4","2,522.1","480.1"
"2007","Chandler, AZ","250,868","823","9","51","246","517","7,934","1,231","5,871","832","328.1","3.6","20.3","98.1","206.1","3,162.6","490.7","2,340.3","331.6"
"2008","Chandler, AZ","253,076","801","6","56","241","498","7,984","1,414","5,768","802","316.5","2.4","22.1","95.2","196.8","3,154.8","558.7","2,279.2","316.9"
"2009","Chandler, AZ","256,091","740","5","46","205","484","7,458","1,376","5,599","483","289.0","2.0","18.0","80.0","189.0","2,912.2","537.3","2,186.3","188.6"
"2010","Chandler, AZ","236,123","691","6","61","195","429","7,516","1,373","5,766","377","292.6","2.5","25.8","82.6","181.7","3,183.1","581.5","2,441.9","159.7"
"2011","Chandler, AZ","239,466","681","2","62","171","446","7,416","1,344","5,741","331","284.4",".8","25.9","71.4","186.2","3,096.9","561.2","2,397.4","138.2"
"2012","Chandler, AZ","242,721","628","4","64","149","411","6,571","1,147","5,168","256","258.7","1.6","26.4","61.4","169.3","2,707.2","472.6","2,129.2","105.5"
"2013","Chandler, AZ","248,718","575","2","52","162","359","5,900","993","4,628","279","231.2",".8","20.9","65.1","144.3","2,372.2","399.2","1,860.7","112.2"
"2014","Chandler, AZ","252,369","466","1","60","111","294","5,643","954","4,461","228","184.7",".4","23.8","44.0","116.5","2,236.0","378.0","1,767.6","90.3"
"2001","Mesa, AZ","410,026","2,516","17","106","452","1,941","24,992","4,313","16,121","4,558","613.6","4.1","25.9","110.2","473.4","6,095.2","1,051.9","3,931.7","1,111.6"
"2002","Mesa, AZ","421,547","2,887","22","129","590","2,146","30,448","4,957","20,405","5,086","684.9","5.2","30.6","140.0","509.1","7,222.9","1,175.9","4,840.5","1,206.5"
"2003","Mesa, AZ","436,569","2,346","14","116","431","1,785","26,127","4,112","17,452","4,563","537.4","3.2","26.6","98.7","408.9","5,984.6","941.9","3,997.5","1,045.2"
"2004","Mesa, AZ","445,006","2,500","22","124","421","1,933","23,364","3,682","15,937","3,745","561.8","4.9","27.9","94.6","434.4","5,250.3","827.4","3,581.3","841.6"
"2005","Mesa, AZ","452,340","2,280","29","194","460","1,597","24,071","3,560","16,263","4,248","504.0","6.4","42.9","101.7","353.1","5,321.4","787.0","3,595.3","939.1"
"2006","Mesa, AZ","459,705","2,084","26","203","508","1,347","21,304","3,283","14,367","3,654","453.3","5.7","44.2","110.5","293.0","4,634.3","714.2","3,125.3","794.9"
"2007","Mesa, AZ","454,576","2,224","22","175","620","1,407","19,945","2,922","14,063","2,960","489.2","4.8","38.5","136.4","309.5","4,387.6","642.8","3,093.7","651.2"
"2008","Mesa, AZ","456,821","2,289","16","161","656","1,456","17,516","2,866","12,603","2,047","501.1","3.5","35.2","143.6","318.7","3,834.3","627.4","2,758.8","448.1"
"2009","Mesa, AZ","470,833","2,000","14","123","611","1,252","16,079","3,076","11,700","1,303","424.8","3.0","26.1","129.8","265.9","3,415.0","653.3","2,485.0","276.7"
"2010","Mesa, AZ","439,041","1,790","15","124","511","1,140","14,876","2,711","11,158","1,007","407.7","3.4","28.2","116.4","259.7","3,388.3","617.5","2,541.4","229.4"
"2011","Mesa, AZ","445,256","1,838","18","131","497","1,192","15,117","2,769","11,407","941","412.8","4.0","29.4","111.6","267.7","3,395.1","621.9","2,561.9","211.3"
"2012","Mesa, AZ","451,391","1,804","14","172","469","1,149","14,140","2,681","10,572","887","399.7","3.1","38.1","103.9","254.5","3,132.5","593.9","2,342.1","196.5"
"2013","Mesa, AZ","456,155","1,807","22","203","478","1,104","12,916","2,357","9,607","952","396.1","4.8","44.5","104.8","242.0","2,831.5","516.7","2,106.1","208.7"
"2014","Mesa, AZ","462,092","2,119","13","252","469","1,385","12,940","2,358","9,744","838","458.6","2.8","54.5","101.5","299.7","2,800.3","510.3","2,108.7","181.3"
"2001","Anaheim, CA","334,110","1,316","8","91","484","733","9,909","1,798","6,328","1,783","393.9","2.4","27.2","144.9","219.4","2,965.8","538.1","1,894.0","533.7"
"2002","Anaheim, CA","340,065","1,389","17","80","465","827","10,809","1,995","6,945","1,869","408.5","5.0","23.5","136.7","243.2","3,178.5","586.7","2,042.3","549.6"
"2003","Anaheim, CA","336,132","1,319","9","76","410","824","10,446","1,971","6,708","1,767","392.4","2.7","22.6","122.0","245.1","3,107.7","586.4","1,995.6","525.7"
"2004","Anaheim, CA","336,195","1,530","10","102","493","925","10,249","1,912","6,388","1,949","455.1","3.0","30.3","146.6","275.1","3,048.5","568.7","1,900.1","579.7"
"2005","Anaheim, CA","335,992","1,616","10","81","554","971","9,512","1,929","5,537","2,046","481.0","3.0","24.1","164.9","289.0","2,831.0","574.1","1,648.0","608.9"
"2006","Anaheim, CA","334,792","1,524","10","107","584","823","8,817","1,886","5,277","1,654","455.2","3.0","32.0","174.4","245.8","2,633.6","563.3","1,576.2","494.0"
"2007","Anaheim, CA","335,133","1,423","17","96","581","729","8,798","1,827","5,695","1,276","424.6","5.1","28.6","173.4","217.5","2,625.2","545.2","1,699.3","380.7"
"2008","Anaheim, CA","333,746","1,312","11","83","573","645","8,331","1,604","5,633","1,094","393.1","3.3","24.9","171.7","193.3","2,496.2","480.6","1,687.8","327.8"
"2009","Anaheim, CA","335,970","1,184","9","72","504","599","7,993","1,457","5,591","945","352.4","2.7","21.4","150.0","178.3","2,379.1","433.7","1,664.1","281.3"
"2010","Anaheim, CA","336,265","1,161","7","88","492","574","8,473","1,594","5,869","1,010","345.3","2.1","26.2","146.3","170.7","2,519.7","474.0","1,745.3","300.4"
"2011","Anaheim, CA","340,218","1,281","15","105","446","715","8,493","1,410","5,964","1,119","376.5","4.4","30.9","131.1","210.2","2,496.3","414.4","1,753.0","328.9"
"2012","Anaheim, CA","344,526","1,279","15","82","440","742","10,070","1,605","7,025","1,440","371.2","4.4","23.8","127.7","215.4","2,922.9","465.9","2,039.0","418.0"
"2013","Anaheim, CA","345,320","1,130","11","82","437","600","9,611","1,412","6,518","1,681","327.2","3.2","23.7","126.5","173.8","2,783.2","408.9","1,887.5","486.8"
"2014","Anaheim, CA","346,956","1,101","14","79","418","590","8,196","1,301","5,620","1,275","317.3","4.0","22.8","120.5","170.1","2,362.3","375.0","1,619.8","367.5"
"2001","Bakersfield, CA","251,648","840","22","34","324","460","9,415","2,035","6,226","1,154","333.8","8.7","13.5","128.8","182.8","3,741.3","808.7","2,474.1","458.6"
"2002","Bakersfield, CA","256,134","1,071","22","47","355","647","10,775","2,436","6,941","1,398","418.1","8.6","18.3","138.6","252.6","4,206.8","951.1","2,709.9","545.8"
"2003","Bakersfield, CA","263,707","1,514","24","41","439","1,010","14,102","2,693","9,415","1,994","574.1","9.1","15.5","166.5","383.0","5,347.6","1,021.2","3,570.3","756.1"
"2004","Bakersfield, CA","274,162","1,948","23","56","527","1,342","15,075","3,023","9,807","2,245","710.5","8.4","20.4","192.2","489.5","5,498.6","1,102.6","3,577.1","818.9"
"2005","Bakersfield, CA","285,821","1,706","32","45","530","1,099","16,438","3,746","10,034","2,658","596.9","11.2","15.7","185.4","384.5","5,751.2","1,310.6","3,510.6","930.0"
"2006","Bakersfield, CA","298,198","1,575","24","43","549","959","15,915","3,729","9,623","2,563","528.2","8.0","14.4","184.1","321.6","5,337.1","1,250.5","3,227.1","859.5"
"2007","Bakersfield, CA","318,743","1,961","15","41","629","1,276","16,058","3,537","9,853","2,668","615.2","4.7","12.9","197.3","400.3","5,037.9","1,109.7","3,091.2","837.0"
"2008","Bakersfield, CA","326,046","2,077","25","48","708","1,296","16,160","4,168","9,476","2,516","637.0","7.7","14.7","217.1","397.5","4,956.4","1,278.3","2,906.3","771.7"
"2009","Bakersfield, CA","330,897","2,099","27","49","704","1,319","15,605","3,888","9,341","2,376","634.3","8.2","14.8","212.8","398.6","4,716.0","1,175.0","2,822.9","718.0"
"2010","Bakersfield, CA","347,483","2,104","33","34","641","1,396","15,197","4,235","8,507","2,455","605.5","9.5","9.8","184.5","401.7","4,373.5","1,218.8","2,448.2","706.5"
"2011","Bakersfield, CA","351,568","1,866","18","39","548","1,261","14,840","4,321","8,123","2,396","530.8","5.1","11.1","155.9","358.7","4,221.1","1,229.1","2,310.5","681.5"
"2012","Bakersfield, CA","355,696","1,929","34","57","697","1,141","17,754","4,994","9,540","3,220","542.3","9.6","16.0","196.0","320.8","4,991.3","1,404.0","2,682.1","905.3"
"2013","Bakersfield, CA","361,859","1,857","24","43","708","1,082","16,814","4,605","9,272","2,937","513.2","6.6","11.9","195.7","299.0","4,646.6","1,272.6","2,562.3","811.6"
"2014","Bakersfield, CA","367,406","1,678","17","21","660","980","14,595","4,065","8,247","2,283","456.7","4.6","5.7","179.6","266.7","3,972.4","1,106.4","2,244.7","621.4"
"2001","Chula Vista, CA","176,781","929","8","69","242","610","6,715","1,009","3,999","1,707","525.5","4.5","39.0","136.9","345.1","3,798.5","570.8","2,262.1","965.6"
"2002","Chula Vista, CA","179,932","891","5","50","257","579","6,572","1,068","3,733","1,771","495.2","2.8","27.8","142.8","321.8","3,652.5","593.6","2,074.7","984.3"
"2003","Chula Vista, CA","195,954","776","7","48","249","472","7,106","1,004","3,954","2,148","396.0","3.6","24.5","127.1","240.9","3,626.4","512.4","2,017.8","1,096.2"
"2004","Chula Vista, CA","201,356","838","15","50","296","477","7,214","1,184","3,987","2,043","416.2","7.4","24.8","147.0","236.9","3,582.7","588.0","1,980.1","1,014.6"
"2005","Chula Vista, CA","206,239","927","5","66","338","518","7,489","1,235","3,758","2,496","449.5","2.4","32.0","163.9","251.2","3,631.2","598.8","1,822.2","1,210.2"
"2006","Chula Vista, CA","212,393","947","7","70","351","519","7,034","1,184","3,817","2,033","445.9","3.3","33.0","165.3","244.4","3,311.8","557.5","1,797.1","957.2"
"2007","Chula Vista, CA","218,718","921","8","57","396","460","7,279","1,093","3,790","2,396","421.1","3.7","26.1","181.1","210.3","3,328.0","499.7","1,732.8","1,095.5"
"2008","Chula Vista, CA","223,408","832","6","55","321","450","6,514","1,008","3,339","2,167","372.4","2.7","24.6","143.7","201.4","2,915.7","451.2","1,494.6","970.0"
"2009","Chula Vista, CA","224,841","747","4","49","335","359","5,263","912","3,048","1,303","332.2","1.8","21.8","149.0","159.7","2,340.8","405.6","1,355.6","579.5"
"2010","Chula Vista, CA","243,916","663","2","54","254","353","5,124","760","3,255","1,109","271.8",".8","22.1","104.1","144.7","2,100.7","311.6","1,334.5","454.7"
"2011","Chula Vista, CA","246,783","670","6","34","233","397","5,007","807","3,316","884","271.5","2.4","13.8","94.4","160.9","2,028.9","327.0","1,343.7","358.2"
"2012","Chula Vista, CA","249,830","581","8","33","227","313","5,081","926","3,153","1,002","232.6","3.2","13.2","90.9","125.3","2,033.8","370.7","1,262.1","401.1"
"2013","Chula Vista, CA","255,073","595","2","29","248","316","5,284","971","3,532","781","233.3",".8","11.4","97.2","123.9","2,071.6","380.7","1,384.7","306.2"
"2014","Chula Vista, CA","259,894","612","7","40","214","351","4,524","613","3,091","820","235.5","2.7","15.4","82.3","135.1","1,740.7","235.9","1,189.3","315.5"
"2001","Long Beach, CA","470,099","3,413","49","125","1,417","1,822","15,054","3,232","7,876","3,946","726.0","10.4","26.6","301.4","387.6","3,202.3","687.5","1,675.4","839.4"
"2002","Long Beach, CA","478,478","3,626","67","144","1,505","1,910","15,677","3,405","8,530","3,742","757.8","14.0","30.1","314.5","399.2","3,276.4","711.6","1,782.7","782.1"
"2003","Long Beach, CA","477,368","3,579","49","136","1,411","1,983","14,823","3,003","8,072","3,748","749.7","10.3","28.5","295.6","415.4","3,105.2","629.1","1,690.9","785.1"
"2004","Long Beach, CA","480,945","3,755","48","137","1,533","2,037","14,508","3,245","7,437","3,826","780.8","10.0","28.5","318.7","423.5","3,016.6","674.7","1,546.3","795.5"
"2005","Long Beach, CA","479,729","3,399","42","104","1,403","1,850","13,506","2,955","6,808","3,743","708.5","8.8","21.7","292.5","385.6","2,815.3","616.0","1,419.1","780.2"
"2006","Long Beach, CA","478,283","3,420","41","134","1,440","1,805","12,778","2,896","6,598","3,284","715.1","8.6","28.0","301.1","377.4","2,671.6","605.5","1,379.5","686.6"
"2007","Long Beach, CA","473,959","3,426","42","138","1,506","1,740","12,979","2,905","7,214","2,860","722.8","8.9","29.1","317.7","367.1","2,738.4","612.9","1,522.1","603.4"
"2008","Long Beach, CA","467,055","3,158","40","120","1,487","1,511","12,991","3,080","7,039","2,872","676.2","8.6","25.7","318.4","323.5","2,781.5","659.5","1,507.1","614.9"
"2009","Long Beach, CA","463,969","3,161","40","131","1,381","1,609","12,643","3,116","7,166","2,361","681.3","8.6","28.2","297.6","346.8","2,725.0","671.6","1,544.5","508.9"
"2010","Long Beach, CA","462,257","2,720","32","134","1,202","1,352","11,642","2,929","6,524","2,189","588.4","6.9","29.0","260.0","292.5","2,518.5","633.6","1,411.3","473.5"
"2011","Long Beach, CA","467,691","2,857","25","112","1,320","1,400","12,816","3,275","7,329","2,212","610.9","5.3","23.9","282.2","299.3","2,740.3","700.2","1,567.1","473.0"
"2012","Long Beach, CA","469,893","2,705","32","115","1,239","1,319","14,131","3,799","7,702","2,630","575.7","6.8","24.5","263.7","280.7","3,007.3","808.5","1,639.1","559.7"
"2013","Long Beach, CA","469,665","2,346","34","103","1,118","1,091","12,999","3,776","6,868","2,355","499.5","7.2","21.9","238.0","232.3","2,767.7","804.0","1,462.3","501.4"
"2014","Long Beach, CA","471,123","2,304","23","110","889","1,282","12,438","3,482","6,875","2,081","489.0","4.9","23.3","188.7","272.1","2,640.1","739.1","1,459.3","441.7"
"2001","Oakland, CA","406,908","5,330","84","295","2,125","2,826","22,297","3,696","13,081","5,520","1,309.9","20.6","72.5","522.2","694.5","5,479.6","908.3","3,214.7","1,356.6"
"2002","Oakland, CA","414,161","5,661","108","249","2,452","2,852","24,214","4,252","13,703","6,259","1,366.9","26.1","60.1","592.0","688.6","5,846.5","1,026.7","3,308.6","1,511.2"
"2003","Oakland, CA","407,003","5,613","109","268","2,474","2,762","22,630","4,568","12,551","5,511","1,379.1","26.8","65.8","607.9","678.6","5,560.2","1,122.4","3,083.8","1,354.0"
"2004","Oakland, CA","403,445","5,151","83","262","2,190","2,616","22,185","4,324","10,984","6,877","1,276.8","20.6","64.9","542.8","648.4","5,498.9","1,071.8","2,722.6","1,704.6"
"2005","Oakland, CA","400,619","5,692","93","306","2,672","2,621","23,027","5,783","8,227","9,017","1,420.8","23.2","76.4","667.0","654.2","5,747.9","1,443.5","2,053.6","2,250.8"
"2006","Oakland, CA","398,834","7,599","145","306","3,534","3,614","24,344","5,070","8,725","10,549","1,905.3","36.4","76.7","886.1","906.1","6,103.8","1,271.2","2,187.6","2,645.0"
"2007","Oakland, CA","396,541","7,605","120","299","3,470","3,716","23,664","4,742","8,954","9,968","1,917.8","30.3","75.4","875.1","937.1","5,967.6","1,195.8","2,258.0","2,513.7"
"2008","Oakland, CA","401,587","7,905","115","338","3,323","4,129","21,488","4,488","8,915","8,085","1,968.4","28.6","84.2","827.5","1,028.2","5,350.8","1,117.6","2,219.9","2,013.3"
"2009","Oakland, CA","404,553","6,793","104","326","2,898","3,465","20,173","4,798","8,833","6,542","1,679.1","25.7","80.6","716.3","856.5","4,986.5","1,186.0","2,183.4","1,617.1"
"2010","Oakland, CA","390,724","6,267","90","318","2,917","2,942","17,325","4,961","7,720","4,644","1,603.9","23.0","81.4","746.6","753.0","4,434.1","1,269.7","1,975.8","1,188.6"
"2011","Oakland, CA","395,317","6,652","104","202","3,365","2,981","20,904","5,170","9,429","6,305","1,682.7","26.3","51.1","851.2","754.1","5,287.9","1,307.8","2,385.2","1,594.9"
"2012","Oakland, CA","399,487","7,963","127","271","4,338","3,227","26,342","6,168","13,198","6,976","1,993.3","31.8","67.8","1,085.9","807.8","6,594.0","1,544.0","3,303.7","1,746.2"
"2013","Oakland, CA","403,887","7,984","90","180","4,922","2,792","25,176","5,058","13,285","6,833","1,976.8","22.3","44.6","1,218.7","691.3","6,233.4","1,252.3","3,289.3","1,691.8"
"2014","Oakland, CA","409,994","6,910","80","209","3,481","3,140","24,367","4,006","13,842","6,519","1,685.4","19.5","51.0","849.0","765.9","5,943.3","977.1","3,376.1","1,590.0"
"2001","Riverside, CA","259,908","2,159","20","95","622","1,422","12,359","2,225","7,896","2,238","830.7","7.7","36.6","239.3","547.1","4,755.1","856.1","3,038.0","861.1"
"2002","Riverside, CA","264,540","2,026","20","94","616","1,296","13,135","2,525","8,140","2,470","765.9","7.6","35.5","232.9","489.9","4,965.2","954.5","3,077.0","933.7"
"2003","Riverside, CA","277,103","1,916","24","102","573","1,217","12,891","2,194","8,098","2,599","691.4","8.7","36.8","206.8","439.2","4,652.1","791.8","2,922.4","937.9"
"2004","Riverside, CA","284,762","1,777","17","90","563","1,107","12,497","2,372","7,608","2,517","624.0","6.0","31.6","197.7","388.7","4,388.6","833.0","2,671.7","883.9"
"2005","Riverside, CA","290,299","1,954","10","113","675","1,156","13,425","2,498","8,157","2,770","673.1","3.4","38.9","232.5","398.2","4,624.5","860.5","2,809.9","954.2"
"2006","Riverside, CA","292,698","2,014","11","83","814","1,106","12,267","2,372","7,471","2,424","688.1","3.8","28.4","278.1","377.9","4,191.0","810.4","2,552.5","828.2"
"2007","Riverside, CA","299,312","1,893","12","91","686","1,104","11,154","2,227","7,081","1,846","632.5","4.0","30.4","229.2","368.8","3,726.5","744.0","2,365.8","616.7"
"2008","Riverside, CA","299,384","1,922","19","109","726","1,068","11,059","2,208","7,230","1,621","642.0","6.3","36.4","242.5","356.7","3,693.9","737.5","2,415.0","541.4"
"2009","Riverside, CA","299,871","1,535","15","98","667","755","9,590","2,020","6,239","1,331","511.9","5.0","32.7","222.4","251.8","3,198.0","673.6","2,080.6","443.9"
"2010","Riverside, CA","303,871","1,448","9","78","502","859","9,963","2,068","6,434","1,461","476.5","3.0","25.7","165.2","282.7","3,278.7","680.6","2,117.3","480.8"
"2011","Riverside, CA","307,443","1,310","13","57","458","782","9,631","2,080","6,278","1,273","426.1","4.2","18.5","149.0","254.4","3,132.6","676.5","2,042.0","414.1"
"2012","Riverside, CA","313,532","1,389","16","76","517","780","10,818","2,247","7,095","1,476","443.0","5.1","24.2","164.9","248.8","3,450.4","716.7","2,262.9","470.8"
"2013","Riverside, CA","316,423","1,330","10","78","495","747","10,608","1,978","6,912","1,718","420.3","3.2","24.7","156.4","236.1","3,352.5","625.1","2,184.4","542.9"
"2014","Riverside, CA","319,453","1,384","12","143","441","788","9,864","1,531","6,794","1,539","433.2","3.8","44.8","138.0","246.7","3,087.8","479.3","2,126.8","481.8"
"2001","Sacramento, CA","414,582","3,309","40","169","1,440","1,660","27,382","5,068","15,977","6,337","798.2","9.6","40.8","347.3","400.4","6,604.7","1,222.4","3,853.8","1,528.5"
"2002","Sacramento, CA","421,971","3,547","47","185","1,734","1,581","27,233","5,019","15,548","6,666","840.6","11.1","43.8","410.9","374.7","6,453.8","1,189.4","3,684.6","1,579.7"
"2003","Sacramento, CA","439,811","3,420","43","187","1,630","1,560","28,266","5,606","15,374","7,286","777.6","9.8","42.5","370.6","354.7","6,426.9","1,274.6","3,495.6","1,656.6"
"2004","Sacramento, CA","450,472","4,730","50","195","1,914","2,571","28,107","5,362","15,455","7,290","1,050.0","11.1","43.3","424.9","570.7","6,239.5","1,190.3","3,430.8","1,618.3"
"2005","Sacramento, CA","457,347","5,265","52","170","2,018","3,025","26,083","5,841","13,320","6,922","1,151.2","11.4","37.2","441.2","661.4","5,703.1","1,277.1","2,912.4","1,513.5"
"2006","Sacramento, CA","460,552","5,556","57","196","2,188","3,115","26,112","6,175","12,762","7,175","1,206.4","12.4","42.6","475.1","676.4","5,669.7","1,340.8","2,771.0","1,557.9"
"2007","Sacramento, CA","460,546","5,128","44","194","2,009","2,881","24,399","5,422","12,904","6,073","1,113.5","9.6","42.1","436.2","625.6","5,297.8","1,177.3","2,801.9","1,318.7"
"2008","Sacramento, CA","467,065","4,660","49","168","1,761","2,682","22,499","5,216","12,373","4,910","997.7","10.5","36.0","377.0","574.2","4,817.1","1,116.8","2,649.1","1,051.2"
"2009","Sacramento, CA","470,308","4,165","30","179","1,606","2,350","21,001","5,135","11,720","4,146","885.6","6.4","38.1","341.5","499.7","4,465.4","1,091.8","2,492.0","881.5"
"2010","Sacramento, CA","466,488","4,112","33","165","1,491","2,423","20,200","5,027","11,179","3,994","881.5","7.1","35.4","319.6","519.4","4,330.2","1,077.6","2,396.4","856.2"
"2011","Sacramento, CA","471,972","3,354","36","134","1,162","2,022","18,563","4,141","11,087","3,335","710.6","7.6","28.4","246.2","428.4","3,933.1","877.4","2,349.1","706.6"
"2012","Sacramento, CA","476,557","3,520","34","125","1,211","2,150","19,967","4,474","12,147","3,346","738.6","7.1","26.2","254.1","451.2","4,189.8","938.8","2,548.9","702.1"
"2013","Sacramento, CA","478,182","3,137","34","95","1,158","1,850","17,980","3,886","11,233","2,861","656.0","7.1","19.9","242.2","386.9","3,760.1","812.7","2,349.1","598.3"
"2014","Sacramento, CA","482,767","2,968","28","78","1,000","1,862","15,078","3,238","9,443","2,397","614.8","5.8","16.2","207.1","385.7","3,123.2","670.7","1,956.0","496.5"
"2001","Santa Ana, CA","344,258","1,844","24","55","942","823","10,222","1,396","6,263","2,563","535.6","7.0","16.0","273.6","239.1","2,969.3","405.5","1,819.3","744.5"
"2002","Santa Ana, CA","350,393","1,930","23","66","871","970","10,108","1,225","6,485","2,398","550.8","6.6","18.8","248.6","276.8","2,884.8","349.6","1,850.8","684.4"
