"Year","City","Violent Crime Total","Murder and Nonnegligent Manslaughter","Rape","Robbery","Aggravated Assault","Property Crime Total","Burglary","Larceny-Theft","Motor Vehicle Theft"
"2012","Phoenix, AZ","3,048","75","70","843","2,060","12,228","9,482","546"
"2013","Phoenix, AZ","~","81","~","818","2,349","13,243","10,913","614"
"2014","Phoenix, AZ","~","50","~","627","1,945","11,371","9,414","660"
"2001","Anaheim, CA","894","9","16","102","767","1,661","1,009","261"
"2002","Anaheim, CA","1,005","25","9","100","871","1,970","1,288","219"
"2003","Anaheim, CA","970","7","18","104","841","1,594","865","260"
"2004","Anaheim, CA","973","13","21","123","816","1,558","802","254"
"2005","Anaheim, CA","962","23","14","157","768","1,291","591","274"
"2006","Anaheim, CA","1,084","26","34","148","876","1,104","493","221"
"2007","Anaheim, CA","1,074","45","13","182","834","1,304","655","155"
"2008","Anaheim, CA","963","21","14","206","722","1,241","604","112"
"2009","Anaheim, CA","976","19","18","198","741","1,214","609","77"
"2010","Anaheim, CA","960","16","15","206","723","1,099","502","78"
"2011","Anaheim, CA","955","10","27","198","720","1,005","466","81"
"2012","Anaheim, CA","979","38","16","179","746","1,036","432","109"
"2013","Anaheim, CA","~","23","~","186","728","1,072","523","108"
"2014","Anaheim, CA","~","20","~","167","738","900","488","87"
"2001","Bakersfield, CA","1,327","19","22","198","1,088","2,532","1,647","86"
"2002","Bakersfield, CA","1,558","22","28","156","1,352","2,620","1,623","104"
"2003","Bakersfield, CA","1,287","11","12","215","1,049","3,349","2,002","385"
"2004","Bakersfield, CA","1,443","22","26","206","1,189","3,543","2,164","357"
"2005","Bakersfield, CA","1,588","31","11","208","1,338","3,046","1,776","239"
"2006","Bakersfield, CA","1,759","23","23","231","1,482","3,082","1,728","251"
"2007","Bakersfield, CA"
"2008","Bakersfield, CA","2,386","62","16","359","1,949","3,363","1,913","209"
"2009","Bakersfield, CA","2,095","26","20","306","1,743","3,201","1,832","156"
"2010","Bakersfield, CA","1,877","54","11","290","1,522","2,876","1,578","120"
"2011","Bakersfield, CA","1,890","68","20","304","1,498","2,540","1,214","121"
"2012","Bakersfield, CA"
"2013","Bakersfield, CA","~","33","~","372","1,475","2,358","1,114","154"
"2014","Bakersfield, CA","~","30","~","355","1,730","2,720","1,339","124"
"2001","Chula Vista, CA","654","3","16","102","533","1,060","614","101"
"2002","Chula Vista, CA","592","6","13","57","516","1,064","578","103"
"2003","Chula Vista, CA","609","10","8","76","515","1,230","668","161"
"2004","Chula Vista, CA","617","2","7","100","508","1,242","676","128"
"2005","Chula Vista, CA","620","3","19","97","501","1,078","510","118"
"2006","Chula Vista, CA","638","2","22","95","519","1,199","633","71"
"2007","Chula Vista, CA"
"2008","Chula Vista, CA","615","3","9","95","508","1,193","682","58"
"2009","Chula Vista, CA","557","4","10","115","428","1,177","771","33"
"2010","Chula Vista, CA","531","3","17","81","430","1,153","804","31"
"2011","Chula Vista, CA","529","4","7","94","424","1,127","765","22"
"2012","Chula Vista, CA","477","7","10","94","366","867","580","31"
"2013","Chula Vista, CA","~","2","~","85","406","922","582","27"
"2014","Chula Vista, CA","~","2","~","84","393","795","496","26"
"2001","Long Beach, CA","2,578","34","34","435","2,075","2,799","1,567","572"
"2002","Long Beach, CA","2,492","32","42","402","2,016","2,662","1,395","567"
"2003","Long Beach, CA","2,654","35","50","439","2,130","3,084","1,840","578"
"2004","Long Beach, CA","2,557","38","41","498","1,980","2,902","1,656","602"
"2005","Long Beach, CA"
"2006","Long Beach, CA","2,380","16","29","464","1,871","2,357","1,217","456"
"2007","Long Beach, CA","2,367","23","35","445","1,864","2,621","1,546","370"
"2008","Long Beach, CA","2,285","21","25","514","1,725","2,798","1,629","354"
"2009","Long Beach, CA","2,255","26","34","470","1,725","2,518","1,472","266"
"2010","Long Beach, CA","1,975","19","20","411","1,525","2,290","1,307","254"
"2011","Long Beach, CA","1,875","17","22","358","1,478","2,198","1,227","197"
"2012","Long Beach, CA","1,810","29","19","339","1,423","2,174","1,216","226"
"2013","Long Beach, CA","~","23","~","328","1,124","2,035","967","265"
"2014","Long Beach, CA","~","26","~","249","1,279","1,560","856","206"
"2001","Oakland, CA","1,424","37","59","382","946","2,171","782","960"
"2002","Oakland, CA","1,577","44","38","444","1,051","2,252","780","981"
"2003","Oakland, CA","1,370","53","29","386","902","2,029","750","801"
"2004","Oakland, CA"
"2005","Oakland, CA","911","30","24","287","570","1,301","381","582"
"2006","Oakland, CA","802","31","23","273","475","992","324","433"
"2007","Oakland, CA","1,142","37","26","470","609","1,277","357","573"
"2008","Oakland, CA","1,237","19","38","534","646","1,255","430","488"
"2009","Oakland, CA","1,296","35","40","537","684","1,271","434","388"
"2010","Oakland, CA","1,084","31","39","461","553","1,005","319","288"
"2011","Oakland, CA","901","19","24","342","516","870","257","279"
"2012","Oakland, CA","924","22","38","321","543","863","252","312"
"2013","Oakland, CA","~","16","~","334","478","760","234","261"
"2014","Oakland, CA","~","26","~","294","545","720","233","241"
"2001","Riverside, CA","979","15","24","151","789","1,694","948","245"
"2002","Riverside, CA","849","20","14","126","689","1,617","877","283"
"2003","Riverside, CA","937","14","16","142","765","1,714","931","297"
"2004","Riverside, CA","835","11","16","137","671","1,756","966","289"
"2005","Riverside, CA","773","13","13","127","620","1,773","1,054","264"
"2006","Riverside, CA","762","4","15","156","587","1,676","1,017","192"
"2007","Riverside, CA","761","17","17","176","551","1,829","1,198","123"
"2008","Riverside, CA"
"2009","Riverside, CA","844","16","30","175","623","1,972","1,364","96"
"2010","Riverside, CA","727","7","17","127","576","1,706","1,139","90"
"2011","Riverside, CA"
"2012","Riverside, CA","687","8","14","120","545","1,805","1,123","75"
"2013","Riverside, CA","~","3","~","141","538","1,666","990","81"
"2014","Riverside, CA","~","10","~","119","588","1,812","1,080","80"
"2001","Sacramento, CA","2,538","33","64","313","2,128","3,605","2,218","638"
"2002","Sacramento, CA"
"2003","Sacramento, CA","2,768","37","58","385","2,288","4,024","2,370","899"
"2004","Sacramento, CA","2,943","80","65","472","2,326","4,491","2,490","956"
"2005","Sacramento, CA","3,267","70","44","555","2,598","4,172","2,279","856"
"2006","Sacramento, CA","3,309","80","42","625","2,562","4,097","2,079","883"
"2007","Sacramento, CA","3,290","70","42","589","2,589","3,950","2,250","697"
"2008","Sacramento, CA","3,181","56","34","548","2,543","3,834","2,317","504"
"2009","Sacramento, CA","2,795","44","38","548","2,165","3,771","2,368","406"
"2010","Sacramento, CA","2,775","59","46","559","2,111","3,615","2,096","383"
"2011","Sacramento, CA","2,450","48","35","472","1,895","3,078","1,744","264"
"2012","Sacramento, CA","2,272","22","18","400","1,832","2,769","1,480","307"
"2013","Sacramento, CA","~","21","~","415","1,815","2,296","1,211","306"
"2014","Sacramento, CA","~","25","~","351","2,048","2,108","1,035","277"
"2001","Santa Ana, CA","1,191","22","17","170","982","1,445","674","243"
"2002","Santa Ana, CA","1,223","23","24","182","994","1,439","761","223"
"2003","Santa Ana, CA","1,000","10","26","147","817","1,424","656","270"
"2004","Santa Ana, CA","984","10","31","83","860","1,383","675","277"
"2005","Santa Ana, CA","847","26","20","101","700","1,455","771","220"
"2006","Santa Ana, CA","868","29","31","170","638","1,261","716","125"
"2007","Santa Ana, CA","915","36","20","183","676","1,236","658","100"
"2008","Santa Ana, CA","867","19","17","181","650","1,265","658","81"
"2009","Santa Ana, CA","933","31","28","209","665","1,227","650","56"
"2010","Santa Ana, CA","897","36","31","218","612","1,139","601","71"
"2011","Santa Ana, CA","870","22","10","203","635","1,181","672","72"
"2012","Santa Ana, CA","870","22","15","215","618","1,171","690","76"
"2013","Santa Ana, CA","~","12","~","164","513","989","584","86"
"2014","Santa Ana, CA","~","5","~","143","545","811","467","73"
"2001","Stockton, CA","1,490","51","27","267","1,145","1,968","1,323","59"
"2002","Stockton, CA","1,452","49","20","227","1,156","1,881","1,168","115"
"2003","Stockton, CA","1,313","27","30","259","997","1,995","1,363","98"
"2004","Stockton, CA","1,452","30","29","257","1,136","2,014","1,361","130"
"2005","Stockton, CA","1,656","33","31","374","1,218","2,240","1,623","75"
"2006","Stockton, CA","1,603","34","20","388","1,161","2,458","1,568","274"
"2007","Stockton, CA","1,523","27","18","356","1,122","2,171","1,543","67"
"2008","Stockton, CA","1,707","32","31","448","1,196","1,962","1,359","44"
"2009","Stockton, CA","1,504","12","19","409","1,064","2,046","1,403","31"
"2010","Stockton, CA","1,224","36","21","339","828","1,669","1,126","23"
"2011","Stockton, CA","1,053","24","10","292","727","1,247","854","20"
"2012","Stockton, CA","1,150","42","17","267","824","1,120","640","33"
"2013","Stockton, CA","~","26","~","248","898","967","573","26"
"2014","Stockton, CA","~","29","~","180","923","750","383","25"
"2001","Fresno, CA","3,136","23","86","341","2,686","4,035","2,461","435"
"2002","Fresno, CA","2,934","31","63","316","2,524","4,078","2,492","502"
"2003","Fresno, CA","2,995","39","59","336","2,561","4,019","2,518","425"
"2004","Fresno, CA","2,959","39","59","343","2,518","3,741","2,344","386"
"2005","Fresno, CA","2,963","31","52","365","2,515","3,348","1,915","384"
"2006","Fresno, CA"
"2007","Fresno, CA","3,061","47","54","404","2,556","3,426","1,967","285"
"2008","Fresno, CA","2,668","40","32","395","2,201","3,745","2,272","243"
"2009","Fresno, CA","2,583","39","41","391","2,112","3,551","2,299","192"
"2010","Fresno, CA","2,542","43","35","349","2,115","3,188","1,919","254"
"2011","Fresno, CA","2,421","39","29","378","1,975","3,230","1,802","220"
"2012","Fresno, CA","2,312","48","28","305","1,931","3,056","1,781","202"
"2013","Fresno, CA","~","42","~","380","1,903","3,607","2,089","172"
"2014","Fresno, CA","~","62","~","347","2,169","3,322","1,937","144"
"2001","San Francisco, CA","3,791","28","44","875","2,844","4,847","2,876","821"
"2002","San Francisco, CA","3,612","32","42","733","2,805","4,297","2,465","691"
"2003","San Francisco, CA"
"2004","San Francisco, CA","3,427","21","38","778","2,590","4,047","2,331","604"
"2005","San Francisco, CA","3,452","26","44","762","2,620","3,555","1,815","591"
"2006","San Francisco, CA","3,457","28","32","798","2,599","3,826","1,930","555"
"2007","San Francisco, CA","3,427","36","33","862","2,496","3,331","1,854","412"
"2008","San Francisco, CA","3,871","35","34","988","2,814","3,496","2,122","366"
"2009","San Francisco, CA","3,568","37","36","863","2,632","3,190","1,951","281"
"2010","San Francisco, CA","2,342","46","33","511","1,752","2,196","1,527","172"
"2011","San Francisco, CA","2,340","66","26","568","1,680","2,093","1,325","146"
"2012","San Francisco, CA"
"2013","San Francisco, CA","~","29","~","496","1,461","1,550","706","185"
"2014","San Francisco, CA","~","26","~","371","1,435","1,289","593","182"
"2001","Los Angeles, CA","17,436","299","269","3,105","13,763","14,376","8,042","3,104"
"2002","Los Angeles, CA","16,047","308","237","2,904","12,598","13,892","7,508","3,393"
"2003","Los Angeles, CA","16,330","266","249","3,208","12,607","14,461","7,748","3,611"
"2004","Los Angeles, CA","15,433","312","192","3,318","11,611","14,155","7,544","3,521"
"2005","Los Angeles, CA","14,529","287","171","3,183","10,888","13,304","6,801","3,673"
"2006","Los Angeles, CA","14,379","296","196","3,485","10,402","12,734","6,657","3,100"
"2007","Los Angeles, CA","14,479","282","218","3,520","10,459","12,403","6,806","2,661"
"2008","Los Angeles, CA","14,495","217","271","3,623","10,384","12,650","7,824","1,945"
"2009","Los Angeles, CA","14,224","208","208","3,470","10,338","11,707","7,550","1,360"
"2010","Los Angeles, CA","12,257","133","247","2,829","9,048","11,449","7,710","1,223"
"2011","Los Angeles, CA","11,935","153","178","2,723","8,881","11,404","7,770","1,028"
"2012","Los Angeles, CA","11,371","174","199","2,348","8,650","11,414","7,891","956"
"2013","Los Angeles, CA","~","123","~","2,001","7,957","10,383","7,089","998"
"2014","Los Angeles, CA","~","99","~","1,939","8,206","9,349","6,133","996"
"2001","San Diego, CA","4,766","44","84","606","4,032","5,120","3,015","592"
"2002","San Diego, CA","4,499","52","70","516","3,861","4,995","2,743","682"
"2003","San Diego, CA","4,464","69","85","548","3,762","5,412","2,862","900"
"2004","San Diego, CA","4,217","73","55","499","3,590","5,452","2,837","959"
"2005","San Diego, CA","4,072","55","55","512","3,450","4,980","2,473","869"
"2006","San Diego, CA","3,852","67","62","685","3,038","4,752","2,430","688"
"2007","San Diego, CA","4,188","55","48","692","3,393","4,500","2,488","538"
"2008","San Diego, CA","4,103","63","49","702","3,289","4,240","2,308","359"
"2009","San Diego, CA","3,847","63","56","662","3,066","4,037","2,216","274"
"2010","San Diego, CA","3,550","43","49","556","2,902","3,874","2,164","259"
"2011","San Diego, CA","3,276","49","57","502","2,668","3,774","2,146","192"
"2012","San Diego, CA","3,382","54","68","539","2,721","4,094","2,369","359"
"2013","San Diego, CA","~","40","~","515","2,599","3,990","2,271","333"
"2014","San Diego, CA","~","45","~","475","2,916","3,692","2,179","283"
"2001","San Jose, CA","3,268","18","95","311","2,844","3,867","2,604","504"
"2002","San Jose, CA","3,117","36","63","349","2,669","4,483","3,332","445"
"2003","San Jose, CA","2,927","29","49","318","2,531","4,300","3,048","559"
"2004","San Jose, CA"
"2005","San Jose, CA","2,923","31","60","349","2,483","4,078","2,668","698"
"2006","San Jose, CA","2,793","25","26","386","2,356","3,826","2,420","703"
"2007","San Jose, CA","2,799","35","42","384","2,338","3,635","2,333","597"
"2008","San Jose, CA","2,691","28","54","457","2,152","4,048","2,812","464"
"2009","San Jose, CA","2,558","34","44","421","2,059","4,347","3,259","401"
"2010","San Jose, CA","2,354","17","49","402","1,886","3,896","2,858","377"
"2011","San Jose, CA","2,143","19","37","388","1,699","3,254","2,322","312"
"2012","San Jose, CA","2,068","61","33","409","1,565","3,112","2,021","480"
"2013","San Jose, CA"
"2014","San Jose, CA","~","38","~","299","1,627","2,535","1,624","411"
"2001","Aurora, CO","480","14","36","108","322","1,658","1,327","172"
"2002","Aurora, CO","460","15","43","74","328","1,343","912","305"
"2003","Aurora, CO","469","7","33","101","328","2,191","1,776","264"
"2004","Aurora, CO","483","5","36","106","336","2,624","2,115","295"
"2005","Aurora, CO","432","7","36","105","284","2,639","2,157","297"
"2006","Aurora, CO","508","6","29","109","364","2,420","2,021","207"
"2007","Aurora, CO","438","4","32","123","279","2,756","2,359","191"
"2008","Aurora, CO","519","36","45","105","333","2,959","2,579","166"
"2009","Aurora, CO","557","30","42","171","314","2,966","2,623","100"
"2010","Aurora, CO","543","19","53","148","323","2,707","2,418","95"
"2011","Aurora, CO","471","18","36","110","307","2,786","2,525","82"
"2012","Aurora, CO","477","6","25","124","322","3,035","2,781","80"
"2013","Aurora, CO","~","11","~","138","350","3,453","3,133","116"
"2014","Aurora, CO","~","8","~","108","342","3,459","3,076","136"
"2001","Denver, CO","1,492","53","91","311","1,037","6,686","5,161","1,013"
"2002","Denver, CO","1,592","47","101","290","1,154","6,813","5,056","1,179"
"2003","Denver, CO","1,436","36","86","299","1,015","6,588","4,980","1,082"
"2004","Denver, CO","1,391","58","84","256","993","6,052","4,654","952"
"2005","Denver, CO","1,267","6","72","249","940","4,505","3,544","373"
"2006","Denver, CO","1,374","9","82","346","937","1,636","664","376"
"2007","Denver, CO","1,123","21","67","245","790","1,142","384","304"
"2008","Denver, CO","1,409","41","76","345","947","1,799","663","347"
"2009","Denver, CO","1,439","35","93","339","972","1,933","874","367"
"2010","Denver, CO","1,312","30","103","299","880","1,611","731","282"
"2011","Denver, CO","1,366","22","107","327","910","1,825","818","371"
"2012","Denver, CO","1,350","33","84","320","913","1,760","818","364"
"2013","Denver, CO","~","27","~","420","1,057","3,591","2,480","373"
"2014","Denver, CO","~","28","~","401","1,073","4,612","3,417","435"
"2001","Colorado Springs, CO","617","12","42","113","450","4,185","3,547","215"
"2002","Colorado Springs, CO","696","15","56","120","505","4,188","3,485","252"
"2003","Colorado Springs, CO","672","8","59","107","498","4,169","3,455","268"
"2004","Colorado Springs, CO","620","12","51","105","452","4,783","3,953","365"
