Year,City,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft
"2001","Las Vegas, NV","1,748","88","152","874","634","11,990","3,038","7,455","1,492"
"2002","Las Vegas, NV","2,079","70","125","924","960","12,916","3,286","7,945","1,671"
"2003","Las Vegas, NV","1,931","63","186","819","863","12,009","3,173","7,255","1,569"
"2004","Las Vegas, NV","2,000","74","87","793","1,046","12,960","3,250","7,984","1,720"
"2005","Las Vegas, NV","2,039","105","96","755","1,083","11,319","3,133","6,424","1,750"
"2006","Las Vegas, NV","2,582","110","114","1,074","1,284","8,746","1,158","5,810","1,774"
"2007","Las Vegas, NV","3,172","96","97","1,103","1,876","8,400","908","5,912","1,574"
"2008","Las Vegas, NV","4,030","91","148","1,249","2,542","9,486","1,337","7,260","854"
"2009","Las Vegas, NV","5,072","102","128","1,434","3,408","10,815","1,088","9,166","519"
"2010","Las Vegas, NV","4,750","86","100","1,288","3,276","9,645","915","8,291","420"
"2011","Las Vegas, NV","4,234","74","110","1,191","2,859","8,743","1,028","7,316","381"
"2012","Las Vegas, NV","4,160","71","112","1,118","2,859","8,418","1,119","6,971","321"
"2013","Las Vegas, NV","~","81","~","1,203","2,580","8,345","1,190","6,761","383"
"2014","Las Vegas, NV","~","91","~","1,383","2,795","7,133","1,033","5,616","476"
"2001","Jersey City, NJ","1,129","18","17","338","756","946","180","725","13"
"2002","Jersey City, NJ","1,235","22","20","379","814","933","163","741","13"
"2003","Jersey City, NJ","1,301","15","19","418","849","801","150","616","23"
"2004","Jersey City, NJ","1,073","13","8","341","711","892","150","713","19"
"2005","Jersey City, NJ","1,009","21","3","365","620","734","193","518","14"
"2006","Jersey City, NJ","1,042","25","- 1","465","552","728","168","523","3"
"2007","Jersey City, NJ","975","26","4","400","545","781","178","554","8"
"2008","Jersey City, NJ","839","27","8","382","422","797","183","587","3"
"2009","Jersey City, NJ","749","25","6","323","395","705","140","534","14"
"2010","Jersey City, NJ","730","25","10","299","396","656","145","497","2"
"2011","Jersey City, NJ","727","17","14","289","407","608","189","413","- 1"
"2012","Jersey City, NJ","736","9","8","285","434","614","220","389","- 1"
"2013","Jersey City, NJ","~","22","~","261","452","457","135","309","- 1"
"2014","Jersey City, NJ","~","22","~","198","337","487","140","341","- 1"
"2001","Newark, NJ","1,737","56","52","477","1,152","1,578","483","1,029","37"
"2002","Newark, NJ","1,437","36","46","443","912","1,448","402","969","50"
"2003","Newark, NJ","1,279","52","42","406","779","1,265","427","760","60"
"2005","Newark, NJ","1,104","53","39","355","657","991","394","553","27"
"2006","Newark, NJ","1,046","41","33","405","567","983","400","551","26"
"2007","Newark, NJ","1,046","46","24","378","598","727","315","386","22"
"2008","Newark, NJ","1,097","33","21","417","626","761","368","366","18"
"2009","Newark, NJ"
"2010","Newark, NJ","1,019","49","11","347","612","623","345","273","1"
"2011","Newark, NJ","906","31","3","295","577","647","344","292","8"
"2012","Newark, NJ","819","28","16","338","437","590","241","333","8"
"2013","Newark, NJ","~","36","~","411","373","568","221","342","3"
"2014","Newark, NJ","~","45","~","341","361","546","188","339","15"
"2001","Albuquerque, NM","1,264","30","24","228","982","2,317","359","1,807","146"
"2002","Albuquerque, NM","1,289","37","23","237","992","2,344","289","1,888","162"
"2004","Albuquerque, NM","1,095","31","24","184","856","1,997","310","1,601","79"
"2005","Albuquerque, NM","1,240","31","9","212","988","1,926","315","1,537","73"
"2006","Albuquerque, NM","1,139","25","22","174","918","1,739","360","1,254","122"
"2007","Albuquerque, NM","1,312","33","32","217","1,030","2,114","367","1,626","118"
"2008","Albuquerque, NM","1,507","35","38","213","1,221","4,743","420","4,241","75"
"2009","Albuquerque, NM","1,567","35","21","163","1,348","5,687","499","5,089","97"
"2010","Albuquerque, NM","1,621","28","15","155","1,423","5,639","528","4,988","121"
"2011","Albuquerque, NM","1,688","34","20","148","1,486","5,518","514","4,910","87"
"2012","Albuquerque, NM","1,627","31","25","134","1,437","5,757","610","5,022","119"
"2013","Albuquerque, NM","~","25","~","137","1,377","6,010","666","5,238","99"
"2014","Albuquerque, NM","~","20","~","105","1,480","5,385","518","4,737","121"
"2001","Buffalo, NY","1,451","35","51","444","921","1,863","435","875","533"
"2002","Buffalo, NY","1,459","19","43","444","953","1,917","428","906","557"
"2003","Buffalo, NY","1,319","23","41","394","861","1,937","434","1,066","403"
"2004","Buffalo, NY","1,648","30","54","438","1,126","2,253","508","1,175","544"
"2005","Buffalo, NY","1,550","43","63","436","1,008","2,324","537","1,308","447"
"2006","Buffalo, NY","1,637","74","52","494","1,017","2,350","604","1,273","416"
"2007","Buffalo, NY","1,430","53","43","433","901","2,316","554","1,256","453"
"2008","Buffalo, NY","1,581","61","51","454","1,015","2,350","599","1,317","392"
"2009","Buffalo, NY","1,767","26","43","588","1,110","2,293","567","1,324","375"
"2010","Buffalo, NY","1,592","19","41","485","1,047","2,489","633","1,501","314"
"2011","Buffalo, NY"
"2012","Buffalo, NY","1,382","14","23","435","910","2,341","570","1,427","306"
"2013","Buffalo, NY","~","16","~","464","972","2,194","512","1,391","266"
"2014","Buffalo, NY","~","14","~","456","931","2,098","459","1,371","250"
"2001","Greensboro, NC","1,033","35","26","380","592","4,120","738","3,071","292"
"2002","Greensboro, NC","1,004","37","23","322","622","4,268","747","3,231","271"
"2003","Greensboro, NC","1,042","36","19","369","618","4,220","687","3,267","255"
"2004","Greensboro, NC"
"2005","Greensboro, NC","1,002","27","17","391","567","3,406","692","2,700","1"
"2006","Greensboro, NC","870","24","10","334","502","3,243","787","2,401","43"
"2007","Greensboro, NC","1,008","29","4","357","618","3,486","792","2,627","57"
"2008","Greensboro, NC","901","16","11","385","489","3,905","701","3,121","74"
"2009","Greensboro, NC","968","9","17","304","638","4,417","699","3,662","31"
"2010","Greensboro, NC"
"2011","Greensboro, NC","716","25","13","211","467","3,558","603","2,925","13"
"2012","Greensboro, NC","924","24","17","318","565","4,016","658","3,324","22"
"2013","Greensboro, NC","~","12","~","279","437","3,504","686","2,805","3"
"2014","Greensboro, NC","~","9","~","260","377","2,941","663","2,254","6"
"2001","Raleigh, NC","548","18","27","254","249","1,884","463","1,347","54"
"2002","Raleigh, NC","546","31","32","243","240","1,890","428","1,397","54"
"2003","Raleigh, NC","662","36","30","289","307","2,230","436","1,740","44"
"2004","Raleigh, NC"
"2005","Raleigh, NC","815","35","31","355","394","2,687","589","2,041","44"
"2006","Raleigh, NC","988","35","22","397","534","2,778","612","2,109","40"
"2007","Raleigh, NC","806","23","39","349","395","2,848","667","2,113","31"
"2008","Raleigh, NC","918","54","28","457","379","3,254","743","2,460","17"
"2009","Raleigh, NC"
"2010","Raleigh, NC","854","27","56","330","441","3,116","709","2,304","79"
"2011","Raleigh, NC","730","21","44","311","354","3,189","802","2,271","94"
"2012","Raleigh, NC"
"2013","Raleigh, NC","~","24","~","345","612","3,511","655","2,760","84"
"2014","Raleigh, NC"
"2001","Charlotte-Mecklenburg, NC","3,324","64","20","433","2,807","3,553","619","2,621","278"
"2002","Charlotte-Mecklenburg, NC","3,402","53","46","489","2,814","3,329","746","2,221","296"
"2003","Charlotte-Mecklenburg, NC","3,078","52","39","419","2,568","3,439","718","2,158","512"
"2004","Charlotte-Mecklenburg, NC"
"2005","Charlotte-Mecklenburg, NC","2,700","53","38","536","2,073","3,214","861","2,108","205"
