Year,City,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft
"2001","St. Louis, MO","4,237","112","115","827","3,183","4,416","878","3,236","263"
"2002","St. Louis, MO","4,381","135","122","727","3,397","4,376","854","3,217","268"
"2003","St. Louis, MO","3,853","93","86","698","2,976","4,109","643","3,164","274"
"2004","St. Louis, MO","3,518","91","104","626","2,697","4,007","683","2,744","543"
"2005","St. Louis, MO","4,098","91","110","765","3,132","4,692","791","3,576","285"
"2006","St. Louis, MO","4,336","108","158","860","3,210","5,078","1,012","3,719","305"
"2007","St. Louis, MO","2,901","101","139","742","1,919","5,397","1,142","3,918","304"
"2008","St. Louis, MO","2,526","101","106","689","1,630","4,857","1,090","3,418","314"
"2009","St. Louis, MO","2,633","138","102","743","1,650","4,083","1,011","2,824","222"
"2010","St. Louis, MO","2,333","117","94","697","1,425","3,798","1,145","2,449","168"
"2011","St. Louis, MO","2,356","99","88","726","1,443","4,130","1,355","2,590","167"
"2012","St. Louis, MO","2,023","122","84","679","1,138","3,217","926","2,112","140"
"2013","St. Louis, MO","~","83","~","582","1,098","2,944","816","1,982","127"
"2014","St. Louis, MO","~","108","~","547","1,042","2,578","734","1,720","110"
"2001","Lincoln, NE","287","6","47","55","179","1,811","137","1,558","53"
"2002","Lincoln, NE"
"2003","Lincoln, NE","269","9","42","43","175","1,609","165","1,349","68"
"2004","Lincoln, NE","318","4","50","73","191","1,693","153","1,462","41"
"2005","Lincoln, NE","457","9","44","84","320","1,647","136","1,459","4"
"2006","Lincoln, NE","402","8","44","59","291","1,649","166","1,386","52"
"2007","Lincoln, NE","426","7","51","62","306","1,591","138","1,347","69"
"2008","Lincoln, NE","430","4","34","83","309","1,633","149","1,402","49"
"2009","Lincoln, NE","396","3","36","62","295","1,559","148","1,348","39"
"2010","Lincoln, NE","373","3","37","72","261","1,472","104","1,299","52"
"2011","Lincoln, NE","414","6","50","70","288","1,654","109","1,468","54"
"2012","Lincoln, NE","465","2","33","76","354","2,199","129","2,008","43"
"2013","Lincoln, NE","~","3","~","63","339","2,131","97","1,971","46"
"2014","Lincoln, NE","~","5","~","51","349","2,160","83","2,002","57"
"2001","Omaha, NE"
"2002","Omaha, NE","513","23","54","205","231","4,698","249","4,230","176"
"2003","Omaha, NE","493","36","36","195","226","3,691","298","3,190","154"
"2004","Omaha, NE","563","24","46","209","284","3,836","296","3,399","100"
"2005","Omaha, NE"
"2006","Omaha, NE","630","25","49","194","362","3,949","291","3,484","136"
"2007","Omaha, NE","701","25","48","193","435","4,025","243","3,596","152"
"2008","Omaha, NE","794","28","47","243","476","3,889","207","3,517","142"
"2009","Omaha, NE","814","21","50","247","496","4,349","269","3,903","138"
"2010","Omaha, NE","765","19","36","198","512","3,993","226","3,598","134"
"2011","Omaha, NE","844","34","66","203","541","4,616","280","4,164","138"
"2012","Omaha, NE"
"2013","Omaha, NE","~","28","~","165","521","3,557","227","3,211","94"
"2014","Omaha, NE","~","29","~","176","558","4,310","242","3,903","140"
"2001","Henderson, NV","177","9","23","51","94","971","249","613","92"
"2002","Henderson, NV","137","4","16","34","83","959","228","587","114"
"2003","Henderson, NV","206","4","22","38","142","970","221","671","64"
"2004","Henderson, NV","198","6","23","53","116","1,072","211","799","38"
"2005","Henderson, NV","220","4","13","67","136","1,295","238","984","42"
"2006","Henderson, NV","262","5","22","102","133","1,245","334","741","145"
"2007","Henderson, NV","243","4","16","95","128","1,417","387","979","28"
"2008","Henderson, NV","230","3","19","99","109","1,409","413","957","20"
"2009","Henderson, NV","285","8","15","105","157","1,456","360","1,064","19"
"2010","Henderson, NV","261","8","12","69","172","1,430","219","1,185","20"
"2011","Henderson, NV","234","1","11","46","176","1,246","228","998","10"
"2012","Henderson, NV","166","1","13","44","108","1,304","202","1,057","36"
"2013","Henderson, NV","~","3","~","71","80","1,406","298","1,059","36"
"2014","Henderson, NV","~","1","~","73","105","1,394","323","1,038","30"
