Year,City,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft
"2001","Pittsburgh, PA","1,383","42","59","598","684","1,950","490","1,079","358"
"2002","Pittsburgh, PA","1,430","47","72","506","805","1,630","589","823","195"
"2003","Pittsburgh, PA","1,400","61","55","546","738","1,648","529","871","232"
"2004","Pittsburgh, PA","1,610","48","35","665","862","1,790","666","883","221"
"2005","Pittsburgh, PA","1,301","56","38","525","682","1,549","547","818","170"
"2006","Pittsburgh, PA","1,354","33","34","553","734","1,528","577","819","120"
"2007","Pittsburgh, PA","1,437","42","51","591","753","1,579","523","890","151"
"2008","Pittsburgh, PA","1,413","40","32","564","777","1,537","449","885","160"
"2009","Pittsburgh, PA","1,287","34","37","513","703","1,358","376","824","119"
"2010","Pittsburgh, PA","1,353","39","17","504","793","1,421","458","841","98"
"2011","Pittsburgh, PA","1,180","27","40","479","634","1,274","373","796","88"
"2012","Pittsburgh, PA","1,169","29","37","505","598","1,446","340","979","108"
"2014","Pittsburgh, PA","~","26","~","445","589","1,328","292","903","102"
"2001","Philadelphia, PA","10,607","240","604","3,557","6,206","13,372","2,014","8,076","3,074"
"2002","Philadelphia, PA","9,972","242","508","3,380","5,842","11,328","1,847","6,373","2,906"
"2003","Philadelphia, PA","9,147","241","491","3,277","5,138","10,728","1,686","5,921","2,984"
"2004","Philadelphia, PA","9,272","261","461","3,295","5,255","10,052","1,573","5,871","2,440"
"2005","Philadelphia, PA","9,296","236","476","3,477","5,107","9,636","1,574","5,657","2,284"
"2006","Philadelphia, PA","10,175","241","429","3,898","5,607","10,028","1,734","5,829","2,334"
"2007","Philadelphia, PA","9,375","267","423","3,644","5,041","9,841","1,818","5,847","2,075"
"2008","Philadelphia, PA","9,937","291","476","3,723","5,447","9,848","2,034","6,186","1,512"
"2009","Philadelphia, PA","8,639","234","424","3,307","4,674","8,501","1,527","5,699","1,179"
"2010","Philadelphia, PA","9,164","258","356","3,456","5,094","10,121","1,699","7,210","1,109"
"2012","Philadelphia, PA","8,482","258","318","3,099","4,807","9,996","1,769","7,173","962"
"2013","Philadelphia, PA","~","208","~","2,829","4,450","9,309","1,554","6,761","907"
"2014","Philadelphia, PA","~","160","~","2,674","3,949","8,534","1,370","6,178","914"
"2001","Memphis, TN","1,970","89","75","480","1,326","6,048","1,010","4,260","744"
"2002","Memphis, TN","1,847","103","45","442","1,257","5,761","882","3,998","852"
"2003","Memphis, TN","1,694","105","21","597","971","5,740","1,143","3,794","772"
"2004","Memphis, TN","1,613","101","30","658","824","6,493","1,139","4,629","710"
"2005","Memphis, TN","1,999","117","40","650","1,192","6,333","1,242","4,300","766"
"2006","Memphis, TN","2,266","119","58","772","1,317","5,883","1,291","4,023","531"
"2007","Memphis, TN","2,474","105","72","902","1,395","6,691","1,301","4,639","732"
"2008","Memphis, TN","2,572","125","53","887","1,507","7,909","1,596","5,583","700"
"2009","Memphis, TN","2,691","125","81","866","1,619","7,698","1,693","5,502","456"
"2010","Memphis, TN","2,517","77","83","800","1,557","6,786","1,780","4,569","393"
"2011","Memphis, TN","2,518","81","105","830","1,502","6,955","1,840","4,738","339"
"2013","Memphis, TN","~","84","~","748","1,519","6,482","1,252","4,951","261"
"2014","Memphis, TN","~","68","~","727","1,273","6,412","1,151","4,892","332"
"2001","Nashville, TN","2,178","39","40","211","1,888","2,532","134","2,287","4"
"2002","Nashville, TN","2,330","66","30","154","2,080","2,292","119","2,064","3"
"2003","Nashville, TN","2,596","75","27","207","2,287","2,749","257","2,456","6"
"2004","Nashville, TN","2,916","91","42","215","2,568","2,779","360","2,385","17"
"2005","Nashville, TN","3,483","85","38","361","2,999","3,487","547","2,790","130"
"2006","Nashville, TN","1,851","51","30","301","1,469","2,325","387","1,794","136"
"2007","Nashville, TN","1,939","28","36","330","1,545","2,476","415","1,963","82"
